Date,Region,Product,Sales,Profit,Quantity,Rating
23-02-2024,North,Product D,761,96,18,3.4
15-04-2024,South,Product D,213,179,16,3
16-09-2024,North,Product D,78,-21,5,1.8
05-11-2024,West,Product B,997,405,5,2
09-07-2024,South,Product B,-92,446,8,3.8
05-08-2024,South,Product D,676,340,11,4.5
13-02-2024,West,Product D,969,276,9,1.8
10-06-2024,West,Product A,320,218,11,4.7
20-07-2024,South,Product A,575,140,8,4.5
26-09-2024,West,Product A,691,279,18,1.9
16-12-2024,South,Product B,262,107,5,4.1
30-10-2024,West,Product D,930,239,13,3.8
27-09-2024,South,Product A,86,18,11,2.5
02-08-2024,North,Product C,206,-2,5,2.9
08-09-2024,North,Product A,180,460,13,2.9
08-07-2024,West,Product C,-26,318,7,1.7
22-10-2024,West,Product D,84,81,13,4.2
31-07-2024,South,Product C,919,239,18,1.3
26-07-2024,East,Product C,62,495,14,4.4
24-08-2024,West,Product C,211,100,7,4.3
03-12-2024,North,Product B,987,-35,5,2.8
22-02-2024,West,Product C,395,374,7,1.2
06-10-2024,South,Product C,901,79,2,4.4
04-08-2024,South,Product A,893,220,10,1.4
08-09-2024,West,Product A,758,310,5,2
06-07-2024,West,Product C,-60,126,9,3
10-02-2024,East,Product B,6,212,18,3.6
05-06-2024,East,Product B,880,275,19,2.3
15-01-2024,South,Product A,-17,451,6,3.6
27-10-2024,East,Product A,31,467,7,2.2
05-03-2024,North,Product A,136,262,5,2.2
10-12-2024,West,Product A,741,388,18,2.6
22-11-2024,West,Product B,773,231,18,2.1
09-01-2024,South,Product A,-6,-5,7,4.3
09-12-2024,West,Product A,241,124,17,4.9
08-05-2024,North,Product B,42,318,18,4.1
15-05-2024,South,Product C,460,447,18,3.9
03-03-2024,West,Product B,171,255,10,2.9
18-05-2024,North,Product A,8,350,11,2.1
21-03-2024,South,Product D,548,362,2,4.3
11-06-2024,North,Product D,843,146,3,2.5
15-10-2024,West,Product D,732,10,3,3.5
17-09-2024,East,Product B,705,206,14,1.7
18-08-2024,South,Product D,945,179,3,3.8
10-02-2024,West,Product C,457,-27,8,4.6
28-01-2024,South,Product A,720,-32,19,4
14-05-2024,South,Product D,-46,-29,10,2.6
19-07-2024,South,Product A,-14,430,13,1.6
23-11-2024,North,Product C,861,-44,5,3.9
24-09-2024,South,Product C,-31,188,16,3.7
02-02-2024,East,Product A,612,151,16,4.9
17-02-2024,West,Product A,588,243,14,2
02-03-2024,North,Product B,258,146,17,2.6
03-08-2024,South,Product B,700,232,1,2.5
19-10-2024,South,Product D,858,74,8,4.8
08-04-2024,West,Product D,302,15,15,3.7
20-06-2024,North,Product D,774,-23,1,3.9
25-12-2024,North,Product D,964,272,13,1.4
01-08-2024,South,Product D,67,350,16,1.8
04-02-2024,North,Product C,975,238,15,2.7
14-08-2024,East,Product D,-66,349,4,5
10-04-2024,South,Product D,518,135,19,1.5
10-05-2024,South,Product D,-97,495,10,2.8
13-09-2024,North,Product B,661,-21,13,2.5
05-01-2024,East,Product D,-91,43,15,1.4
05-08-2024,East,Product A,305,129,6,4.9
11-09-2024,South,Product B,865,382,8,2
24-12-2024,East,Product C,12,92,18,3.9
09-10-2024,East,Product A,427,497,9,2.4
25-07-2024,East,Product D,389,253,11,4.1
15-01-2024,South,Product A,538,387,4,1.3
11-12-2024,West,Product B,503,-40,18,2.8
11-02-2024,South,Product B,328,258,19,4
27-06-2024,West,Product D,519,118,1,1.8
03-03-2024,East,Product D,801,329,11,3.6
17-12-2024,East,Product C,559,200,7,1.4
18-08-2024,South,Product B,644,-31,18,3.7
28-08-2024,South,Product C,754,161,16,2.4
21-02-2024,North,Product A,31,291,14,3.9
05-04-2024,North,Product C,541,136,11,4.6
09-08-2024,East,Product D,541,401,15,3.7
18-08-2024,South,Product D,501,239,9,3.4
24-08-2024,South,Product B,964,215,13,4.2
22-05-2024,South,Product D,61,223,1,2.9
19-06-2024,East,Product D,662,446,17,3.2
29-01-2024,North,Product B,-16,116,10,1
05-02-2024,South,Product D,545,104,4,3.3
13-01-2024,South,Product D,263,264,15,3.7
08-06-2024,West,Product A,942,476,14,4.4
22-11-2024,North,Product D,405,365,18,1.1
05-07-2024,South,Product B,474,95,5,3.3
30-08-2024,South,Product D,726,357,5,3.1
26-03-2024,West,Product A,212,103,18,3.3
10-10-2024,North,Product C,546,187,16,2.1
06-03-2024,North,Product C,24,300,3,4.2
18-06-2024,South,Product C,342,147,18,NULL
14-02-2024,South,Product B,723,172,6,3
02-03-2024,South,Product B,891,463,3,1.8
13-05-2024,West,Product B,225,258,18,2.3
10-10-2024,West,Product B,952,50,14,1.2
28-01-2024,West,Product D,10,386,13,1.1
17-04-2024,West,Product D,308,457,13,4.1
13-02-2024,West,Product D,611,495,5,4.9
05-12-2024,North,Product D,237,448,8,2.2
12-10-2024,South,Product C,996,-26,8,1.3
26-11-2024,North,Product C,594,398,12,1.1
07-05-2024,West,Product B,670,186,6,4.2
13-12-2024,South,Product C,180,432,5,1.6
18-08-2024,East,Product B,955,151,10,2.4
08-07-2024,South,Product B,184,362,13,1.9
12-08-2024,South,Product C,439,7,15,2
09-10-2024,South,Product C,174,63,4,4.2
30-04-2024,East,Product D,14,349,2,4.8
25-04-2024,North,Product A,222,-15,7,4.8
20-08-2024,South,Product A,-12,195,17,4.2
15-09-2024,North,Product C,-64,60,6,1.7
24-12-2024,North,Product D,497,102,5,2.9
16-07-2024,East,Product A,524,67,5,1.7
16-05-2024,East,Product A,342,477,12,1.8
13-11-2024,South,Product C,558,350,10,4
13-06-2024,West,Product C,387,259,12,2.1
12-08-2024,West,Product B,376,119,19,2.1
02-11-2024,West,Product C,485,-15,17,4
21-08-2024,South,Product B,890,159,6,2.7
20-06-2024,West,Product C,929,294,10,3.2
31-05-2024,West,Product C,348,447,13,2.4
10-11-2024,East,Product D,301,1,10,2.3
08-06-2024,East,Product D,778,79,6,3.3
05-04-2024,South,Product B,266,401,1,1.7
20-08-2024,West,Product C,309,50,4,3.3
28-06-2024,South,Product B,356,333,13,3.4
22-04-2024,West,Product A,185,78,4,3
13-11-2024,North,Product A,291,320,10,3.5
21-02-2024,South,Product A,97,415,12,3.7
24-09-2024,East,Product D,-7,245,1,1.2
21-10-2024,West,Product D,895,102,3,1.4
22-04-2024,West,Product D,477,124,6,4.9
10-04-2024,North,Product D,277,211,12,3.1
22-04-2024,North,Product B,421,499,8,3.5
21-03-2024,North,Product B,295,121,14,4.8
05-07-2024,North,Product C,600,296,2,1.2
22-04-2024,North,Product C,812,144,5,1
02-01-2024,North,Product C,-27,284,19,1
09-05-2024,West,Product B,916,354,1,4.6
07-08-2024,East,Product C,726,219,16,2.8
23-02-2024,East,Product D,810,155,13,1.9
08-12-2024,South,Product C,-87,191,2,4.3
11-08-2024,West,Product C,574,6,9,2.9
12-08-2024,West,Product B,238,363,18,3.6
05-05-2024,East,Product C,450,135,15,1.9
09-05-2024,East,Product A,-87,-3,2,2.1
22-02-2024,South,Product D,286,221,14,4.5
20-06-2024,North,Product B,572,98,1,1.3
05-08-2024,West,Product A,555,221,18,4.7
08-06-2024,East,Product C,26,326,14,4
16-07-2024,West,Product D,-7,242,19,1.6
03-09-2024,East,Product A,665,316,11,2.6
19-11-2024,North,Product C,888,-10,2,4.3
21-07-2024,North,Product D,-58,469,5,2.1
02-07-2024,West,Product D,736,4,5,4.6
02-05-2024,East,Product A,257,140,3,1.9
11-09-2024,West,Product A,659,408,4,3.4
20-10-2024,North,Product D,421,334,16,1.9
06-10-2024,West,Product A,131,40,6,4.6
20-11-2024,East,Product D,211,142,16,3.1
07-04-2024,North,Product A,228,355,12,3.4
16-07-2024,West,Product D,24,175,2,4.9
27-08-2024,South,Product B,426,450,2,4.4
23-05-2024,West,Product B,654,81,1,4.3
06-04-2024,West,Product C,114,359,13,2.7
19-07-2024,East,Product C,665,21,12,2.1
03-05-2024,North,Product D,64,369,5,3.8
05-07-2024,North,Product D,115,82,2,3
21-11-2024,South,Product C,461,269,12,3.2
14-12-2024,West,Product A,442,203,10,3.5
15-09-2024,West,Product B,893,270,19,4.2
27-05-2024,West,Product B,763,167,15,1.3
08-09-2024,North,Product C,577,-32,17,1.6
11-12-2024,North,Product D,185,154,19,1.3
26-05-2024,West,Product C,318,150,13,2
27-05-2024,West,Product B,418,0,9,2.9
17-12-2024,North,Product C,658,460,11,1.7
17-07-2024,East,Product C,693,437,1,4.8
03-11-2024,South,Product C,509,168,5,4.3
07-05-2024,South,Product C,4,490,13,4.7
08-02-2024,South,Product B,385,169,4,1.1
03-12-2024,East,Product B,154,428,7,2.6
25-12-2024,West,Product D,436,28,13,4.5
08-05-2024,North,Product B,762,466,17,4.6
23-09-2024,East,Product D,546,363,10,1.6
30-05-2024,South,Product A,752,407,7,3.4
24-10-2024,West,Product B,646,39,15,3.2
08-04-2024,South,Product C,987,121,14,2
19-09-2024,South,Product D,468,325,1,4.4
08-09-2024,East,Product B,105,31,19,1.5
23-05-2024,West,Product C,443,283,17,4.6
11-12-2024,East,Product D,510,26,3,4.8
21-04-2024,North,Product D,891,178,14,1.8
29-02-2024,East,Product B,522,103,7,3
02-01-2024,North,Product D,20,-46,19,2
30-10-2024,North,Product B,78,83,19,2.9
10-09-2024,North,Product C,358,291,17,2.1
19-05-2024,West,Product A,510,156,3,4.9
06-02-2024,West,Product A,285,257,18,3.6
08-06-2024,South,Product A,-95,431,16,4.2
09-01-2024,North,Product A,992,118,9,1.8
20-08-2024,West,Product B,109,198,19,4.5
08-04-2024,East,Product B,682,428,18,2.4
26-05-2024,East,Product C,-1,-42,16,2.9
30-10-2024,West,Product B,960,-34,2,2.3
26-07-2024,West,Product B,710,-34,8,1.2
10-05-2024,South,Product D,408,220,5,2.9
31-05-2024,South,Product A,305,127,7,1.3
23-02-2024,South,Product B,118,198,9,4.5
29-04-2024,East,Product B,907,22,4,2
09-06-2024,East,Product A,137,139,12,1.9
25-04-2024,North,Product B,842,33,12,2.6
15-03-2024,East,Product D,577,71,15,2.3
22-04-2024,West,Product B,887,290,2,3.9
13-04-2024,South,Product A,10,-5,13,4.1
05-12-2024,North,Product C,630,394,15,1.6
10-09-2024,North,Product C,-47,-10,3,2.5
14-08-2024,West,Product B,842,-40,3,3.7
21-04-2024,South,Product D,-73,119,6,2.1
08-04-2024,North,Product D,860,-33,10,3.1
01-06-2024,South,Product B,-59,88,19,1.6
14-12-2024,South,Product A,97,-32,11,3.4
31-12-2024,South,Product D,189,123,6,3.2
03-12-2024,East,Product B,97,348,5,1.8
12-07-2024,South,Product C,213,302,12,4.7
05-11-2024,South,Product D,262,78,1,3
11-06-2024,West,Product D,164,487,3,1.1
26-07-2024,West,Product B,746,401,8,1
17-06-2024,North,Product A,-83,139,2,3.6
09-06-2024,North,Product D,984,256,7,4.6
08-03-2024,South,Product C,677,159,NULL,1.5
15-10-2024,West,Product D,908,440,14,2.9
03-10-2024,North,Product C,992,152,5,4.7
30-10-2024,East,Product B,974,43,5,3.5
14-05-2024,West,Product A,-59,389,12,4.8
13-07-2024,West,Product B,757,-1,18,3.8
07-05-2024,West,Product A,329,438,11,2.8
02-02-2024,East,Product C,708,361,4,2.2
24-06-2024,North,Product C,581,342,3,2.6
22-01-2024,North,Product B,-33,418,16,1.9
25-08-2024,North,Product C,494,383,3,4.6
06-06-2024,North,Product C,473,201,2,5
07-02-2024,North,Product B,464,168,10,1.5
17-08-2024,West,Product A,130,342,4,3.7
30-12-2024,East,Product C,256,258,7,1.2
20-02-2024,South,Product A,989,362,14,3.5
20-09-2024,North,Product D,946,484,1,3.1
09-10-2024,South,Product C,469,102,15,1.3
27-01-2024,North,Product D,589,126,7,2.9
13-08-2024,West,Product D,41,480,15,2.6
03-10-2024,West,Product C,941,-29,2,4.8
12-10-2024,South,Product C,535,313,19,1.1
06-04-2024,North,Product B,669,461,17,3
10-10-2024,North,Product C,-82,368,17,4.4
12-11-2024,East,Product A,-67,368,7,3.9
30-10-2024,East,Product D,560,-43,4,2.5
26-05-2024,West,Product C,63,440,11,3.5
04-01-2024,East,Product D,524,407,16,3.6
04-02-2024,East,Product B,473,288,17,1.3
10-07-2024,West,Product C,270,8,8,4.8
18-02-2024,North,Product A,-44,468,1,2.1
17-01-2024,East,Product B,582,226,11,2
20-06-2024,South,Product D,351,21,12,3.3
07-08-2024,East,Product B,596,234,13,2.2
06-06-2024,West,Product B,321,391,16,4.1
15-02-2024,South,Product A,496,12,6,2.4
06-01-2024,West,Product A,209,198,11,3.5
08-04-2024,South,Product C,365,302,5,1.5
20-08-2024,North,Product A,479,108,4,4.9
06-02-2024,East,Product C,825,272,19,1.7
06-10-2024,East,Product D,895,224,14,3.8
14-12-2024,South,Product B,624,117,18,2.6
28-10-2024,West,Product A,643,165,11,4.8
29-06-2024,West,Product C,560,219,5,2.6
04-04-2024,South,Product B,55,308,7,1
08-04-2024,East,Product D,99,412,8,5
06-07-2024,South,Product C,473,183,15,1.1
25-04-2024,North,Product A,599,154,8,3.5
09-07-2024,East,Product C,959,290,3,3.7
09-09-2024,West,Product C,865,25,4,2
09-06-2024,North,Product B,294,81,9,4.6
12-09-2024,North,Product D,543,285,3,1.1
18-11-2024,East,Product B,235,2,6,3
07-05-2024,West,Product C,89,196,4,4.1
18-01-2024,East,Product A,753,206,8,4.4
07-10-2024,South,Product B,999,176,1,4.2
10-08-2024,North,Product A,198,297,19,2.8
23-02-2024,East,Product C,66,300,3,1.9
27-02-2024,East,Product D,825,436,18,3.2
18-11-2024,North,Product C,37,365,16,4
25-12-2024,South,Product C,801,-31,15,3.2
22-06-2024,West,Product A,29,429,19,2.3
06-10-2024,East,Product A,754,-6,5,4.8
23-04-2024,North,Product D,683,468,15,3.3
14-10-2024,North,Product A,40,366,4,1.9
07-12-2024,South,Product D,490,245,8,1.8
30-05-2024,East,Product A,-67,425,2,3.2
06-05-2024,North,Product D,410,157,9,2.2
03-06-2024,South,Product D,74,423,16,4.1
29-09-2024,East,Product B,356,436,4,1.8
13-04-2024,West,Product A,649,340,19,4
25-10-2024,West,Product A,178,29,15,2.1
02-09-2024,East,Product C,989,218,4,1.7
24-06-2024,East,Product C,-7,185,1,1
08-02-2024,East,Product B,-58,195,7,3.5
18-06-2024,East,Product B,33,453,10,4.7
03-09-2024,South,Product B,680,53,14,1.9
26-01-2024,North,Product D,185,-13,10,5
20-12-2024,South,Product C,540,366,5,1.3
01-11-2024,North,Product C,582,469,18,5
13-01-2024,South,Product A,331,346,4,2.3
11-11-2024,East,Product C,408,276,5,3.4
08-11-2024,South,Product D,373,476,16,3.5
05-02-2024,North,Product D,103,87,16,1.8
21-06-2024,West,Product C,360,343,9,4
20-01-2024,East,Product A,660,367,1,4
16-11-2024,West,Product B,760,115,9,1.6
20-09-2024,North,Product C,518,319,18,3.9
21-05-2024,East,Product B,551,294,18,4.1
22-05-2024,East,Product B,571,444,16,3.5
01-04-2024,East,Product D,654,417,14,4.1
19-12-2024,West,Product C,189,-24,9,1.9
17-11-2024,West,Product A,284,349,14,2.8
14-10-2024,North,Product B,335,177,12,4.9
02-08-2024,North,Product B,-11,344,19,2.1
07-12-2024,South,Product D,966,84,5,5
20-02-2024,North,Product A,932,233,3,3.6
01-06-2024,South,Product D,732,-48,1,2.2
04-07-2024,West,Product A,84,481,7,1.9
03-03-2024,North,Product C,-98,332,8,2.7
08-07-2024,East,Product C,463,179,12,4
04-05-2024,South,Product B,470,189,4,2.1
29-05-2024,South,Product A,266,96,3,2.5
09-11-2024,South,Product C,438,23,19,2
27-02-2024,West,Product D,117,381,1,4.6
07-12-2024,South,Product B,29,284,9,2
31-10-2024,North,Product B,50,154,7,1.3
28-06-2024,South,Product C,905,25,15,3.1
18-06-2024,East,Product C,323,372,9,1.2
21-11-2024,West,Product B,-29,267,11,2.7
27-09-2024,West,Product C,955,197,10,2.8
23-02-2024,North,Product A,196,324,13,1.4
10-04-2024,East,Product C,460,319,14,2.3
20-09-2024,West,Product B,554,438,4,2
22-02-2024,West,Product D,-19,160,17,1.7
29-02-2024,West,Product D,810,-37,16,1.1
17-04-2024,North,Product A,677,123,1,3.3
05-01-2024,North,Product C,519,-34,6,2.7
12-04-2024,West,Product B,-49,257,7,4.6
14-07-2024,South,Product B,759,-18,15,4.2
18-09-2024,West,Product A,182,-18,6,1.2
30-12-2024,East,Product A,459,271,3,4.9
15-12-2024,East,Product C,88,250,3,3.2
16-02-2024,West,Product C,-40,245,2,3.7
20-12-2024,West,Product A,879,136,13,3.7
06-11-2024,West,Product A,384,-26,15,3.7
03-11-2024,East,Product A,992,123,19,1.3
23-05-2024,North,Product C,32,389,11,4.9
25-09-2024,South,Product D,868,392,12,2.3
03-05-2024,North,Product B,962,62,19,1.5
15-04-2024,South,Product A,312,360,13,2.9
06-06-2024,East,Product A,749,204,1,2.4
26-05-2024,East,Product D,230,168,9,4
24-05-2024,East,Product C,997,-11,14,4.6
29-04-2024,East,Product D,713,-36,10,4.4
14-11-2024,North,Product A,-61,361,17,1.5
01-10-2024,South,Product D,-63,482,16,2.5
01-04-2024,East,Product C,-35,305,5,3
27-02-2024,South,Product A,936,86,3,1.3
11-12-2024,South,Product A,659,386,5,2.4
16-08-2024,West,Product C,-16,241,17,4.7
26-04-2024,North,Product D,48,427,10,1.3
13-11-2024,North,Product C,606,360,15,3
05-10-2024,North,Product A,-4,382,15,4
06-05-2024,North,Product A,536,384,6,2.6
08-05-2024,South,Product B,678,-46,4,1
27-02-2024,East,Product C,621,396,5,3.6
01-05-2024,East,Product C,899,19,11,2.1
01-01-2024,South,Product D,577,-12,2,4.4
26-08-2024,East,Product C,312,288,11,3
16-10-2024,West,Product C,357,34,12,2
05-04-2024,South,Product C,-78,-46,5,1.6
05-05-2024,South,Product D,-55,86,8,3.5
27-04-2024,West,Product B,817,191,14,1.6
17-02-2024,West,Product C,384,178,1,3.3
29-03-2024,East,Product B,176,374,18,4.2
24-08-2024,North,Product D,383,-11,10,1.3
28-09-2024,North,Product D,305,215,14,4.7
07-07-2024,West,Product D,796,339,3,1.6
10-07-2024,East,Product D,801,387,11,2.3
09-03-2024,North,Product A,406,197,4,1
04-10-2024,West,Product C,239,-29,14,3.5
14-12-2024,East,Product B,260,457,9,3
03-09-2024,East,Product B,160,175,8,2.6
16-03-2024,East,Product A,496,436,8,1.1
02-06-2024,North,Product B,944,350,9,3.9
23-05-2024,South,Product C,676,376,1,4.8
26-03-2024,West,Product A,783,-14,17,4.3
03-07-2024,West,Product A,678,376,2,3.4
11-10-2024,South,Product A,196,467,11,3.6
07-08-2024,North,Product D,559,5,18,4.1
09-03-2024,North,Product A,147,444,11,2.2
16-02-2024,West,Product A,245,439,10,2.9
03-04-2024,South,Product D,89,84,8,1.8
25-08-2024,South,Product A,62,482,11,1.9
22-07-2024,South,Product B,98,189,18,1.8
05-08-2024,South,Product C,876,423,2,1.9
06-12-2024,East,Product B,240,363,8,3.3
08-02-2024,East,Product D,579,81,19,2
09-04-2024,West,Product D,759,230,10,4.6
15-10-2024,South,Product C,983,25,8,4.1
10-09-2024,East,Product C,547,425,8,1
09-08-2024,South,Product A,679,-28,3,1.1
22-12-2024,North,Product C,615,142,11,2.9
23-01-2024,West,Product C,445,139,1,4.7
06-09-2024,East,Product B,654,-12,4,4.4
10-01-2024,East,Product C,910,320,5,3.8
02-09-2024,North,Product D,401,91,13,4.2
20-11-2024,West,Product C,146,-46,3,1.6
09-04-2024,South,Product A,994,263,3,1.4
16-10-2024,East,Product B,618,326,18,2.1
28-06-2024,East,Product C,829,416,16,3
10-08-2024,East,Product D,875,379,9,2.9
06-09-2024,South,Product C,314,316,7,2.9
26-05-2024,East,Product C,355,-4,12,3.1
05-04-2024,North,Product A,74,35,10,3.7
13-09-2024,West,Product D,521,371,13,2.9
20-11-2024,East,Product C,80,391,6,5
04-01-2024,West,Product C,774,424,8,2
16-01-2024,North,Product A,593,331,5,2.8
06-10-2024,West,Product C,606,173,5,3.4
01-12-2024,North,Product B,781,88,5,3.5
03-09-2024,West,Product C,542,37,5,4.6
14-09-2024,South,Product C,365,491,3,1.1
08-06-2024,South,Product A,262,297,1,2.2
05-12-2024,West,Product A,718,-20,19,3.9
31-05-2024,East,Product B,431,435,4,1.4
26-06-2024,West,Product B,326,410,5,4.7
11-06-2024,North,Product C,54,150,16,2.5
02-02-2024,West,Product D,749,-30,19,2.6
27-06-2024,North,Product B,65,427,2,1.4
10-04-2024,South,Product B,701,144,15,2.3
24-09-2024,East,Product B,586,327,8,2.9
18-11-2024,East,Product B,126,20,16,1.9
05-03-2024,North,Product D,834,-42,7,3.3
16-06-2024,East,Product A,400,146,7,1.4
25-11-2024,West,Product D,343,45,15,2.3
12-02-2024,East,Product C,622,142,2,3.8
13-02-2024,West,Product B,159,24,14,4.4
11-10-2024,North,Product A,665,299,14,2
12-01-2024,West,Product B,397,218,2,3.6
04-04-2024,South,Product A,763,438,16,4
28-10-2024,West,Product C,588,-3,13,1
09-09-2024,East,Product B,885,295,5,3.3
29-08-2024,South,Product A,186,401,1,5
04-02-2024,East,Product B,734,300,8,1.9
02-08-2024,South,Product A,873,71,18,3.6
02-12-2024,East,Product B,-79,237,14,1.7
30-03-2024,East,Product C,-48,487,18,2.3
20-09-2024,East,Product B,-96,101,2,2.6
02-04-2024,East,Product A,644,-10,1,4.7
30-03-2024,West,Product C,718,31,17,3.8
24-04-2024,West,Product A,975,462,19,4.5
14-04-2024,East,Product D,861,480,11,4.2
14-07-2024,North,Product C,495,79,7,4.6
09-11-2024,East,Product A,834,152,5,1.8
23-04-2024,North,Product D,317,-7,3,1.1
15-03-2024,East,Product D,-10,-32,1,4.2
04-08-2024,South,Product C,777,392,1,4.3
03-10-2024,West,Product D,31,3,19,3.4
05-09-2024,South,Product D,213,168,18,3.5
12-06-2024,South,Product B,794,498,13,1.6
22-12-2024,West,Product C,56,340,1,2.8
10-07-2024,West,Product A,-79,345,1,4
14-08-2024,North,Product B,392,289,3,3.7
25-06-2024,North,Product B,463,416,11,3.8
08-04-2024,South,Product B,33,266,5,2.7
05-02-2024,North,Product A,981,473,19,2.9
05-04-2024,South,Product B,535,355,4,4.7
31-05-2024,East,Product D,982,497,17,4.3
30-05-2024,East,Product C,601,94,7,4.5
08-07-2024,East,Product B,401,486,19,NULL
11-08-2024,West,Product C,207,251,18,3.9
06-02-2024,East,Product D,165,149,19,4.9
24-09-2024,North,Product C,102,-20,8,3.9
01-07-2024,South,Product C,137,243,17,3.6
13-01-2024,North,Product A,366,-26,12,1.9
05-10-2024,South,Product C,211,364,14,2.9
04-08-2024,East,Product B,924,164,18,1.7
20-12-2024,West,Product A,595,34,10,2.6
26-12-2024,South,Product C,196,488,4,4.1
12-10-2024,North,Product B,561,73,18,3.6
29-09-2024,South,Product B,930,229,5,3.7
02-03-2024,East,Product C,928,231,11,2.1
24-03-2024,West,Product B,0,54,5,4.8
04-08-2024,North,Product C,841,498,4,4.3
07-12-2024,North,Product C,237,350,10,2.6
05-07-2024,South,Product C,735,128,6,1.7
19-01-2024,East,Product B,790,258,5,2
25-06-2024,South,Product A,570,-6,9,3.6
09-04-2024,North,Product D,42,-27,9,5
20-08-2024,South,Product D,-51,461,7,1.5
16-03-2024,South,Product D,606,451,3,3.8
21-09-2024,East,Product D,693,177,4,2.1
10-10-2024,South,Product C,559,-15,2,4.4
24-07-2024,West,Product C,728,76,7,2
10-08-2024,East,Product A,-13,313,18,1.7
21-02-2024,South,Product D,905,457,7,1.7
04-12-2024,East,Product B,490,394,10,4.5
23-05-2024,North,Product A,415,29,2,1.7
09-03-2024,East,Product D,580,460,9,1.3
08-04-2024,East,Product B,436,261,4,4.1
25-01-2024,West,Product B,903,395,5,2.4
22-02-2024,West,Product C,-75,129,19,3.1
30-05-2024,South,Product B,47,311,15,4.5
23-05-2024,West,Product C,136,159,15,4
26-02-2024,South,Product B,233,35,13,2.4
08-02-2024,North,Product A,619,56,18,4.7
18-04-2024,West,Product B,-57,-4,4,4.6
29-06-2024,East,Product A,682,160,12,4.6
11-02-2024,North,Product B,980,98,8,4.6
04-07-2024,South,Product D,156,387,8,2
10-08-2024,East,Product D,503,32,10,3.7
01-05-2024,West,Product A,438,230,17,4.4
12-05-2024,North,Product B,-1,111,17,1.5
11-06-2024,South,Product B,2,405,4,4.1
02-08-2024,South,Product C,98,363,17,5
08-08-2024,West,Product A,455,275,7,2.9
22-08-2024,West,Product A,624,64,3,3.5
26-11-2024,North,Product B,912,-3,9,3.8
25-05-2024,East,Product C,-53,113,15,3.5
26-08-2024,North,Product D,689,3,1,3.3
16-03-2024,South,Product A,564,128,3,3
09-01-2024,East,Product B,126,121,2,2.3
14-03-2024,East,Product A,-100,64,18,2.3
09-09-2024,North,Product B,787,93,1,4.1
17-08-2024,South,Product C,249,74,6,2
07-01-2024,North,Product A,318,493,8,2.8
